Reference,Value,Quantity,Supplier,Supplier Part Number,Manufacturer,Manufacturer Part Number
"P5;P6","CONN_01X04","2","Digikey","WM1814-ND","Molex","0430450400"
"U2","LD1117S33CTR","1","Digikey","497-1240-1-ND","STMicroelectronics","LD1117S25CTR"
"P2","CONN_01X02","1","","","",""
"R3","10K","1","Digikey","311-10KGRCT-ND","Yageo","RC0603JR-0710KL"
"P4","CONN_02X03","1","Digikey","952-2121-ND","Harwin Inc.","M20-9980346"
"C3;C2;C7;C6",".1uF","4","Digikey","311-1343-1-ND","Yageo","CC0603ZRY5V9BB104"
"Q6;Q5;Q4;Q3;Q2;Q1","BSS138","6","Digikey","BSS138LCT-ND","ON Semiconductor","BSS138L"
"D1","GREEN","1","Digikey","160-1475-1-ND","Light-On","LTST-S270GKT"
"R4","1K","1","Digikey","311-1.0KGRCT-ND","Yageo","RC0603JR-071KL"
"R1","200K","1","Digikey","311-200KGRCT-ND","Yageo","RC0603JR-07200KL"
"R2","100K","1","Digikey","311-100KGRCT-ND","Yageo","RC0603JR-07100KL"
"P1","CONN_01X06","1","","","",""
"P3","CONN_02X04","1","Digikey","S7072-ND","Sullins Connector Solutions","PPTC042LFBN-RC"
"F1","PTC RESTTBLE 2.6A 16V CHIP 1812","1","Digi-Key","507-1780-1-ND","Bel Fuse Inc.","0ZCG0260BF2B"
"C1;C4;C5","4.7uF","3","Digikey","490-3335-1-ND","Murata","GRM21BR61E475KA12L"
"U1","NRF24L01_MODULE","1","Amazon","LD1117S25CTR","Slou","BC19422"
"IC1","ATMEGA168PA-A","1","Digikey","ATMEGA168PA-AU-ND","Atmel","ATMEGA168PA-AU"
